name_store;city_store;address_store;timestamp;article;barcode;name;drink_type;price;old_price;date_discount;available;weight;strenght;fatness;pack;country;brand;manufacturer;url;url_img
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:20:55.434742;119118;;Hakushika Fresh&Light Junmai Namachozо;Саке;640;640;;True;;14;;1;Япония;Hakushika Tatsuuma Honke Shuzo;Hakushika Tatsuuma Honke Shuzo;https://simplewine.ru/catalog/product/hakushika_fresh_light_junmai_namachozo_018/;https://simplewine.ru/upload/iblock/5f1/5f115aaea68ba04a947ce5586bb9f4cc.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:20:56.765551;119119;;Hakushika Shiboritate;Саке;890;890;;True;;15;;1;Япония;Hakushika Tatsuuma Honke Shuzo;Hakushika Tatsuuma Honke Shuzo;https://simplewine.ru/catalog/product/hakushika_shiboritate_03/;https://simplewine.ru/upload/iblock/d84/d84e7bee4a8ae4db460a1599148db34f.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:20:57.988981;119120;;Hakushika Junmai Ginjo;Саке;990;990;;True;;15;;1;Япония;Hakushika Tatsuuma Honke Shuzo;Hakushika Tatsuuma Honke Shuzo;https://simplewine.ru/catalog/product/hakushika_junmai_ginjo_03/;https://simplewine.ru/upload/iblock/a9e/a9e0a40aaa6a21f205173bebb16418d5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:20:59.373823;133247;;Manifest;Ликер;2199;2199;;True;;38;;1;Германия;Jagermeister;Jagermeister;https://simplewine.ru/catalog/product/jagermeister_jagermeister__05_133247/;https://simplewine.ru/upload/iblock/124/12405560eaee3aab7700b8eb323a5b70.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:00.812657;121836;;Gekkeikan Daiginjo Namazume;Саке;2990;2990;;True;;15;;1;Япония;Gekkeikan;Gekkeikan;https://simplewine.ru/catalog/product/gekkeikan_daiginjo_kyo_no_kagayaki_072_2/;https://simplewine.ru/upload/iblock/7f2/7f2e05aa60b5183734779ac980fbfd50.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:02.224954;133251;;Manifest;Ликер;3999;3999;;True;;38;;1;Германия;Jagermeister;Jagermeister;https://simplewine.ru/catalog/product/jagermeister_jagermeister__1_133251/;https://simplewine.ru/upload/iblock/c40/c40333a0f50ea1d6a17215ab252bd985.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:03.635224;121873;;Sakagura Sake;Саке;11790;11790;;True;;13;;1;Япония;Hakushika Tatsuuma Honke Shuzo;Hakushika Tatsuuma Honke Shuzo;https://simplewine.ru/catalog/product/hakushika_tatsuuma_honke_shuzo_sakagura_sake_18_1/;https://simplewine.ru/upload/iblock/b3b/sake-sakagura-sake_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:05.872807;116716;;Liqueur Sureau;Ликер;2640;2640;;True;;20;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_liqueur_sureau_07_1/;https://simplewine.ru/upload/iblock/1bd/liker-liqueur-sureau_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:07.101723;122352;;Kaori Junmai Ginjo;;2140;2140;;True;;15;;1;Япония;;;https://simplewine.ru/catalog/product/kaori_junmai_ginjo_09/;https://simplewine.ru/upload/iblock/6a7/6a78b6a33e8b1b60dc7b23bea72b47ac.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:08.431747;126547;;Bunnahabhain Stiuireadair;Виски;2490;2490;;True;;46;;1;Шотландия;Bunnahabhain;Bunnahabhain;https://simplewine.ru/catalog/product/bunnahabhain_bunnahabhain_stiuireadair_02_gift_126547/;https://simplewine.ru/upload/iblock/df8/df8b6b5fc48ce782d61321b13914c466.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:09.825038;126550;;Bunnahabhain Aged 12 Years;Виски;3990;3990;;True;;46;;1;Шотландия;Bunnahabhain;Bunnahabhain;https://simplewine.ru/catalog/product/bunnahabhain_bunnahabhain_aged_12_years_02_gift_126550/;https://simplewine.ru/upload/iblock/64c/64cf7d17ec30aa52eca663ef4d76ff6c.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:11.215133;126593;;Bunnahabhain Toiteach A Dha;Виски;4240;4240;;True;;46;;1;Шотландия;Bunnahabhain;Bunnahabhain;https://simplewine.ru/catalog/product/bunnahabhain_bunnahabhain_toiteach_a_dha_02_gift_126593/;https://simplewine.ru/upload/iblock/41f/41f5b84c1e572c90236aae80adc94b4d.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:12.615934;126856;;Ledaig Sinclair Series Rioja Cask Finish;Виски;6190;6190;;True;;46;;1;Шотландия;Ledaig;Ledaig;https://simplewine.ru/catalog/product/ledaig_ledaig_sinclair_series_rioja_cask_finish_07_gift_126856/;https://simplewine.ru/upload/iblock/83e/83e2a794e5a7d2b8128680a9c93765d0.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:14.045012;109223;;Nikka Yoichi Single Malt;Виски;11042;12990;;True;;45;;1;Япония;Nikka;Nikka;https://simplewine.ru/catalog/product/nikka_yoichi_single_malt_07_1/;https://simplewine.ru/upload/iblock/21a/viski-nikka-yoichi-single-malt_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:15.477050;115187;;Super Nikka;Виски;7690;7690;;True;;43;;1;Япония;Nikka;Nikka;https://simplewine.ru/catalog/product/super_nikka/;https://simplewine.ru/upload/iblock/daf/viski-super-nikka_3.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:17.497148;126696;;"Valdespino Solera Gran Reserva ""Alfonso El Sabio""";;7990;7990;;True;;40;;1;Испания;Valdespino;Valdespino;https://simplewine.ru/catalog/product/valdespino_valdespino_solera_gran_reserva_alfonso_el_sabio_07_1/;https://simplewine.ru/upload/iblock/b1c/b1c285b1b432bcdd2b0879d7cef769ad.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:18.856786;99277;;Umenishiki Umeshu;Умэсю;2640;2640;;True;;14;;1;Япония;Umenishiki Yamakawa;Umenishiki Yamakawa;https://simplewine.ru/catalog/product/umenishiki_yamakawa_umenishiki_umeshu_072_3/;https://simplewine.ru/upload/iblock/390/sake-umenishiki-umeshu_3.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:20.193817;121090;;Crystal Head;Водка;740;740;;True;;40;;1;Канада;Globefill Inc.;Globefill Inc.;https://simplewine.ru/catalog/product/crystal_head_005/;https://simplewine.ru/upload/iblock/843/843fd0052c50b443723e127402159142.png
